days,p,qgas_cum,ws,qgas,temp,pick,extra_step,gcon_period,dt,curr_temp
1496.0,4.760507821363362,484.9431612116561,1,17.879048926068986,0.005415211264984287,1,0,0,1496.0,0.3241598671200693
1520.0,5.00194655826182,485.0683145541386,1,17.7778831729126,0.005547257616227051,0,0,0,1520.0,0.31912389115401757
1527.0,3.753348771528559,485.4949837502885,1,17.555687850969587,0.006246928591403246,1,0,0,1527.0,0.31794039538327223
1550.0,12.67262926241511,485.6178735652453,1,10.133772898113747,0.00622997124452222,0,0,0,1550.0,0.3133018539130413
1557.0,8.522017324082544,485.8509503419019,1,12.965269285871234,0.004046038153364598,1,0,0,1557.0,0.31204299957730935
1581.0,3.197377861668784,485.941707226903,1,17.002864900983173,0.003684605212366153,0,0,0,1581.0,0.30736350868239865
1588.0,11.25958129803231,486.3497759845266,1,14.23264784402902,0.005702153237930244,1,0,0,1588.0,0.30626560200535013
1611.0,13.257727389248,486.44940451943484,1,7.314285120915952,0.005810183482266788,0,0,0,1611.0,0.3019549376284324
1618.0,9.016459250238974,486.6176330772159,1,11.966622865033832,0.003071320067788362,1,0,0,1618.0,0.3007525544358379
1642.0,4.465166027206705,486.7013994372711,1,17.24684515780385,0.0028922181259510194,0,0,0,1642.0,0.296407673226091
1649.0,13.25052567412471,487.1153237210584,1,6.09341044367327,0.005739404968099895,1,0,0,1649.0,0.29540043888479617
1673.0,13.46380568088518,487.15797759416415,1,6.198190175478618,0.005267883963237276,0,0,0,1673.0,0.29118827112620144
1680.0,12.38544915857928,487.3067341583756,1,7.37173712651716,0.0022122424004146265,1,0,0,1680.0,0.29006353223711107
1703.0,6.266314345887231,487.35833631826125,1,16.499219101737644,0.0023170448626329844,0,0,0,1703.0,0.28617635720389467
1710.0,10.92200057779224,487.7378183576012,1,13.915507298714774,0.005007239809721672,1,0,0,1710.0,0.2852267943611536
1734.0,8.267546993366999,487.8352269086922,1,14.930702290092468,0.005545576472707411,0,0,0,1734.0,0.281335194295654
1741.0,3.443152249676855,488.1935637636544,1,15.614645963814871,0.005321863287204197,1,0,0,1741.0,0.2804098585661266
1764.0,14.34376600520788,488.30286628540114,1,3.381500087099822,0.005467731191242923,0,0,0,1764.0,0.27681568383524574
1771.0,5.040023067216434,488.38064078740445,1,18.436885950326104,0.0021893320848033354,1,0,0,1771.0,0.27576546628310383
1795.0,12.91877970688852,488.5096989890567,1,6.972845274846395,0.002424190974537483,0,0,0,1795.0,0.272150250133164
1802.0,3.967027236120534,488.677047275653,1,17.884140004987444,0.0034808715231295765,1,0,0,1802.0,0.27118593078558595
1826.0,15.0457167967112,488.80223625568794,1,2.6993086023483275,0.0034404911260626455,0,0,0,1826.0,0.2676901622429689
1833.0,13.19768105147319,488.8670196621443,1,5.854731190848215,0.002235943062917953,1,0,0,1833.0,0.2667032294937903
1854.0,8.97619424028004,488.9080027804802,1,15.43073008043271,0.001245454985224508,0,0,0,1854.0,0.26370442436917685
1861.0,12.09422429555462,489.2320481121693,1,9.324317941859654,0.004314861552547006,1,0,0,1861.0,0.26288664594956634
1885.0,7.98980408930127,489.2973183377623,1,14.129704206110636,0.004605503452944437,0,0,0,1885.0,0.25957417418447554
